Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Prying Eyes,RNA,Ravnica Allegiance,46,normal,common,3,43818,11ee2c64-68f1-434b-8092-ae80d6575666,0.02,false,false,near_mint,en,USD
Sky Theater Strix,WAR,War of the Spark,67,normal,common,4,44337,98902dd9-f21c-4419-8205-4b9d6592bf28,0.07,false,false,near_mint,en,USD
"Kasmina, Enigmatic Mentor",WAR,War of the Spark,56,normal,uncommon,3,44348,c77d9454-a78c-4063-ad66-46b2f5a030aa,0.24,false,false,near_mint,en,USD
Callous Dismissal,WAR,War of the Spark,44,normal,common,4,44360,66cef326-339c-49e5-9905-21a1603a46ae,0.07,false,false,near_mint,en,USD
Kasmina's Transmutation,WAR,War of the Spark,57,normal,common,3,44347,a9771412-695a-4e89-b146-0e3a7336d319,0.03,false,false,near_mint,en,USD
Contentious Plan,WAR,War of the Spark,46,normal,common,2,44358,8e30deb6-9e1f-4545-ae30-c30ba6c7b3a0,0.41,false,false,near_mint,en,USD
Ugin's Conjurant,WAR,War of the Spark,3,normal,uncommon,3,44401,9957ecca-5ea0-446f-bfd3-46c2aaa42f08,0.1,false,false,near_mint,en,USD
Firemind Vessel,WAR,War of the Spark,237,normal,uncommon,2,44167,ec0ebb6b-d35a-47db-8071-7fef2a46c17b,0.17,false,false,near_mint,en,USD
Scrabbling Claws,RNA,Ravnica Allegiance,238,normal,uncommon,1,43627,67b06cb5-5e74-456f-81b1-fced1346cc47,0.1,false,false,near_mint,en,USD
Screaming Shield,RNA,Ravnica Allegiance,239,normal,uncommon,1,43626,ebb42a80-0442-4850-b0e7-41182d5633ff,0.08,false,false,near_mint,en,USD
Gargoyle Sentinel,M19,Core Set 2019,236,normal,uncommon,1,1076,381e9f97-9655-4f41-9829-4ac26c2ed6ac,0.05,false,false,near_mint,en,USD
Marauder's Axe,M19,Core Set 2019,240,normal,common,1,1072,a2ca16ee-e415-4270-a453-47111d07a07f,0.03,false,false,near_mint,en,USD
Circuitous Route,GRN,Guilds of Ravnica,125,normal,uncommon,1,358,5a970429-6369-4422-a343-00b30267f09d,0.49,false,false,near_mint,en,USD
Trollbred Guardian,RNA,Ravnica Allegiance,148,normal,uncommon,1,43717,8e3e51f6-7091-4cf3-86a3-b8c5946f3796,0.15,false,false,near_mint,en,USD
Golgari Raiders,GRN,Guilds of Ravnica,130,normal,uncommon,1,353,37284ba8-441c-4cf6-95c6-6a0f52e6d36d,0.05,false,false,near_mint,en,USD
Prey Upon,GRN,Guilds of Ravnica,143,normal,common,2,340,16979827-4011-454a-9886-18326cfa3e77,0.05,false,false,near_mint,en,USD
Open the Gates,RNA,Ravnica Allegiance,133,normal,common,1,43732,ff326c57-accb-4b75-9bc9-b5ef1a85f38d,0.19,false,false,near_mint,en,USD
Siege Wurm,GRN,Guilds of Ravnica,144,normal,common,1,339,2d1dfd96-8e17-4ba8-b786-a5cc0ae2ff2d,0.06,false,false,near_mint,en,USD
Rampaging Rendhorn,RNA,Ravnica Allegiance,135,normal,common,1,43730,12c1b820-0f06-41f6-804f-5c98f60c1529,0.05,false,false,near_mint,en,USD
Territorial Boar,RNA,Ravnica Allegiance,145,normal,common,1,43720,5e9ddae7-7e7c-46c7-ad7d-9a686c256b9d,0.05,false,false,near_mint,en,USD
Ironshell Beetle,GRN,Guilds of Ravnica,134,normal,common,1,349,57f8b6b0-f858-41d5-9839-fd1247b9477f,0.03,false,false,near_mint,en,USD
Aggressive Mammoth,M19,Core Set 2019,302,normal,rare,1,1010,323f3c76-5e79-43e6-ae78-f555810edbc3,0.32,false,false,near_mint,en,USD
Gideon's Triumph,WAR,War of the Spark,15,normal,uncommon,3,44389,d6610c6a-717f-406e-a49d-b6e548880946,0.04,false,false,near_mint,en,USD
Gideon's Sacrifice,WAR,War of the Spark,14,normal,common,1,44390,849c79ad-8bfc-4512-ab41-f213b6b285ab,0.09,false,false,near_mint,en,USD
Rally of Wings,WAR,War of the Spark,27,normal,uncommon,1,44377,f043642d-35fe-4ea9-a1d3-78ddfdddeaf4,0.16,false,false,near_mint,en,USD
Battlefield Promotion,WAR,War of the Spark,5,normal,common,2,44399,89f8e970-b90c-4829-8970-0a3364027bbb,0.05,false,false,near_mint,en,USD
Bond of Discipline,WAR,War of the Spark,6,normal,uncommon,5,44398,bb7c78bb-9f2a-47a4-adc4-b497bb38f46f,0.13,false,false,near_mint,en,USD
Topple the Statue,WAR,War of the Spark,35,normal,common,3,44369,2829fa40-92e4-4017-aacd-9d9feae04aa2,0.02,false,false,near_mint,en,USD
Ironclad Krovod,WAR,War of the Spark,19,normal,common,3,44385,afb16895-6542-405e-9793-154ffc439f23,0.02,false,false,near_mint,en,USD
Enforcer Griffin,WAR,War of the Spark,11,normal,common,5,44393,e4d6d488-01df-4d61-92ff-9881838b4018,0.02,false,false,near_mint,en,USD
Grateful Apparition,WAR,War of the Spark,17,normal,uncommon,4,44387,7dcb1f9d-105d-48c6-bd66-d7e8839de9e1,0.13,false,false,near_mint,en,USD
Ajani's Pridemate,WAR,War of the Spark,4,normal,uncommon,5,44400,b3656310-093d-4724-a399-7f7010843b1f,0.11,false,false,near_mint,en,USD
Sunblade Angel,WAR,War of the Spark,31,normal,uncommon,5,44373,9211c0e1-b314-495f-9c43-9a0e95c9efb9,0.08,false,false,near_mint,en,USD
Bulwark Giant,WAR,War of the Spark,7,normal,common,2,44397,11510817-edb3-40d4-bd27-6161fedadd11,0.03,false,false,near_mint,en,USD
Loxodon Sergeant,WAR,War of the Spark,21,normal,common,3,44383,c57f873b-5fb2-4638-b66c-f6d1aec156ba,0.01,false,false,near_mint,en,USD
"Teyo, the Shieldmage",WAR,War of the Spark,32,normal,uncommon,3,44372,a974571c-d8d5-4860-9077-2023e5f32a24,0.21,false,false,near_mint,en,USD
Teyo's Lightshield,WAR,War of the Spark,33,normal,common,2,44371,dfffe235-98b1-43db-9461-1b2da5f0690e,0.04,false,false,near_mint,en,USD
Law-Rune Enforcer,WAR,War of the Spark,20,normal,common,3,44384,a3d39238-e21d-4345-84c8-648ef3a66703,0.04,false,false,near_mint,en,USD
The Wanderer,WAR,War of the Spark,37,normal,uncommon,3,44367,d0f0e463-9eed-4348-af7c-fde5f0d8188c,0.26,false,false,near_mint,en,USD
Sentinel's Mark,RNA,Ravnica Allegiance,20,normal,uncommon,2,43844,e6f4f661-ee4b-4fa5-99c4-106731d117ce,0.08,false,false,near_mint,en,USD
Civic Stalwart,RNA,Ravnica Allegiance,6,normal,common,2,43858,aa981489-4301-43f6-b1d7-2aa42e00cf75,0.05,false,false,near_mint,en,USD
Summary Judgment,RNA,Ravnica Allegiance,24,normal,common,4,43840,c0b20fec-8373-4c6c-b3c1-ee7cff64dd37,0.03,false,false,near_mint,en,USD
Sky Tether,RNA,Ravnica Allegiance,21,normal,uncommon,2,43843,39c47be3-0228-46de-b4b5-911fb86d4596,0.04,false,false,near_mint,en,USD
Watchful Giant,RNA,Ravnica Allegiance,30,normal,common,2,43834,61a38f24-1eb3-4914-be1f-0b5f6d4b09d5,0.02,false,false,near_mint,en,USD
Prowling Caracal,RNA,Ravnica Allegiance,17,normal,common,2,43847,c5382fc4-3384-449e-a83f-43a59158d55b,0.05,false,false,near_mint,en,USD
Archway Angel,RNA,Ravnica Allegiance,3,normal,uncommon,2,43861,b209d219-b946-4226-a8b4-65a5f3837fac,0.05,false,false,near_mint,en,USD
Pegasus Courser,DOM,Dominaria,29,normal,common,1,2247,35263639-f09d-429f-bd99-09cfdee668e8,0.06,false,false,near_mint,en,USD
Knight of New Benalia,DOM,Dominaria,24,normal,common,1,2252,88c50c4b-a2c8-4cdc-a171-aa3ff9ef107f,0.03,false,false,near_mint,en,USD
Knightly Valor,M19,Core Set 2019,20,normal,uncommon,1,1292,366ab022-967d-48ff-a1f9-4bd642dba1ae,0.06,false,false,near_mint,en,USD
Dwarven Priest,M19,Core Set 2019,11,normal,common,1,1301,7e1e0f13-35a6-4a5e-8666-47bc5c275be7,0.06,false,false,near_mint,en,USD
Ledev Guardian,GRN,Guilds of Ravnica,18,normal,common,1,465,cbeb4ae3-2a7a-44e1-923b-20c772fd1b8b,0.03,false,false,near_mint,en,USD
Justiciar's Portal,RNA,Ravnica Allegiance,13,normal,common,2,43851,1df611df-3490-4b07-8034-6da9a0122a81,0.1,false,false,near_mint,en,USD
Twilight Panther,RNA,Ravnica Allegiance,28,normal,common,1,43836,5fb149cc-74ca-4bc3-8efc-10ce872b59fb,0.04,false,false,near_mint,en,USD
Murmuring Mystic,GRN,Guilds of Ravnica,45,normal,uncommon,1,438,5fc6adff-dcb3-456d-a8c2-0e77b784ff89,0.34,false,false,near_mint,en,USD
Pteramander,RNA,Ravnica Allegiance,47,normal,uncommon,1,43817,280f2a85-1900-460b-a768-164fc2dea636,0.08,false,false,near_mint,en,USD
Shimmer of Possibility,RNA,Ravnica Allegiance,51,normal,common,1,43813,76e3092d-2422-438c-b5dd-bf8eca33a76e,0.07,false,false,near_mint,en,USD
Watcher in the Mist,GRN,Guilds of Ravnica,59,normal,common,1,424,fb971f49-8898-444a-a17c-caeb1696c62a,0.05,false,false,near_mint,en,USD
Leapfrog,GRN,Guilds of Ravnica,42,normal,common,1,441,2e415a03-f7f8-4fca-954a-ef21b4a2c60f,0.04,false,false,near_mint,en,USD
Chemister's Insight,GRN,Guilds of Ravnica,32,normal,uncommon,1,451,0e13a295-0d51-4b56-8c58-0896eb41c567,0.07,false,false,near_mint,en,USD
Sinister Sabotage,GRN,Guilds of Ravnica,54,normal,uncommon,1,429,6cbef36d-7170-424f-8fb1-8e7e112b7f0b,0.06,false,false,near_mint,en,USD
Riddlemaster Sphinx,M19,Core Set 2019,287,normal,rare,1,1025,037f6792-ab41-4bcd-a0a3-a4af4a801eb7,0.1,false,false,near_mint,en,USD
Sphinx of Foresight,RNA,Ravnica Allegiance,55,normal,rare,1,43809,cf2386fd-edc0-4731-8f4e-7a7c45548bf3,0.27,false,false,near_mint,en,USD
Hover Barrier,GK2,RNA Guild Kit,6,normal,uncommon,1,44015,bae2761b-b34a-45ce-8822-deff1c86e55c,0.87,false,false,near_mint,en,USD
Chillbringer,RNA,Ravnica Allegiance,33,normal,common,1,43831,158547fa-7313-4e77-949f-afc68ebfb022,0.02,false,false,near_mint,en,USD
Clear the Mind,RNA,Ravnica Allegiance,34,normal,common,1,43830,a7da6982-9e57-41d2-a052-f2a3bb646436,0.09,false,false,near_mint,en,USD
Essence Capture,RNA,Ravnica Allegiance,37,normal,uncommon,1,43827,ce137910-0f0e-4f94-9b95-6e0eeeba164e,0.12,false,false,near_mint,en,USD
Mesmerizing Benthid,RNA,Ravnica Allegiance,43,normal,mythic,1,43821,5bed7c69-1302-4c1a-b410-b4e6c4ef4c0c,0.63,false,false,near_mint,en,USD
Court Hussar,GK2,RNA Guild Kit,5,normal,uncommon,1,44016,23d81636-a550-4e16-94b4-6cb1318e06d2,0.32,false,false,near_mint,en,USD
Stealth Mission,WAR,War of the Spark,70,normal,common,1,44334,7ddfd4f5-7fe1-4a22-9a85-bd9b75b16380,0.05,false,false,near_mint,en,USD
Commence the Endgame,WAR,War of the Spark,45,normal,rare,1,44359,209d70a2-c8c1-4072-ab1f-57804b55a09a,0.23,false,false,near_mint,en,USD
Thought Collapse,RNA,Ravnica Allegiance,57,normal,common,2,43807,948b569b-6341-418b-99b5-f79dfb3fe8dd,0.16,false,false,near_mint,en,USD
Rising Populace,WAR,War of the Spark,29,normal,common,8,44375,edcacc28-aacf-4d40-b8cc-f8c028380340,0.03,false,false,near_mint,en,USD
Prison Realm,WAR,War of the Spark,26,normal,uncommon,4,44378,d476e8e5-2377-464b-b2d5-a3cd66ee2e45,0.05,false,false,near_mint,en,USD
Windstorm Drake,RNA,Ravnica Allegiance,60,normal,uncommon,2,43804,120aa3b3-d358-4df3-be39-9b7ce926673a,0.09,false,false,near_mint,en,USD
Martyr for the Cause,WAR,War of the Spark,23,normal,common,6,44381,acfbc8ca-a574-461e-92ea-c6010daa8230,0.09,false,false,near_mint,en,USD
Quench,RNA,Ravnica Allegiance,48,normal,common,3,43816,ee0ba01b-de96-4f8f-9405-ff3ad288afac,0.04,false,false,near_mint,en,USD
Trusted Pegasus,WAR,War of the Spark,36,normal,common,6,44368,89bbcaf5-80e9-43f2-b470-de6cbed6a95a,0.04,false,false,near_mint,en,USD
Spirit of the Spires,RNA,Ravnica Allegiance,23,normal,uncommon,5,43841,dbd11910-58e2-4233-a18c-e97413126597,0.08,false,false,near_mint,en,USD
Rally to Battle,RNA,Ravnica Allegiance,18,normal,uncommon,1,43846,d0798546-1ef4-485e-b094-cba12a12c67c,0.05,false,false,near_mint,en,USD
Resolute Watchdog,RNA,Ravnica Allegiance,19,normal,uncommon,1,43845,56d86909-b7f3-4a46-9904-e173853b79f1,0.2,false,false,near_mint,en,USD
Azorius Herald,GK2,RNA Guild Kit,2,normal,uncommon,1,44019,525dcef8-a5dc-49ca-819b-296611f70e63,0.15,false,false,near_mint,en,USD
Arrester's Zeal,RNA,Ravnica Allegiance,4,normal,common,2,43860,b075a6f2-5196-45e9-b062-f131f7b1a347,0.04,false,false,near_mint,en,USD
Concordia Pegasus,RNA,Ravnica Allegiance,7,normal,common,1,43857,8a7fdf7b-022c-4900-9344-9b13d41c1604,0.05,false,false,near_mint,en,USD
"Tomik, Distinguished Advokist",WAR,War of the Spark,34,normal,rare,1,44370,f346387c-2f13-472b-b5b1-968b490eb38f,0.12,false,false,near_mint,en,USD
War Screecher,WAR,War of the Spark,39,normal,common,1,44365,d2ff7868-eeb9-4292-a2f4-cac18f9ba270,0.03,false,false,near_mint,en,USD
Ignite the Beacon,WAR,War of the Spark,18,normal,rare,1,44386,4e11d6f9-0b80-4b19-ab96-23f80b66b409,0.21,false,false,near_mint,en,USD
Divine Arrow,WAR,War of the Spark,10,normal,common,1,44394,73cbb58a-1b00-4883-9b45-da7ded7317e3,0.04,false,false,near_mint,en,USD
Charmed Stray,WAR,War of the Spark,8,normal,common,4,44396,357513b9-0505-4b67-9a29-36a705a175b1,0.11,false,false,near_mint,en,USD
Makeshift Battalion,WAR,War of the Spark,22,normal,common,1,44382,82293d58-d3b4-4cf6-8a16-32ae3e509696,0.02,false,false,near_mint,en,USD
Defiant Strike,WAR,War of the Spark,9,normal,common,2,44395,dc183a40-7e15-40b1-9faa-b243401b3d10,0.02,false,false,near_mint,en,USD
Spirit,TRNA,Ravnica Allegiance Tokens,10,normal,common,1,43582,45b3bdd7-b093-4bfd-8a9a-965e72bfefb3,0.09,false,false,near_mint,en,USD
Goblin,TGRN,Guilds of Ravnica Tokens,4,normal,common,1,150,b27dc0bd-ba46-4a5c-9559-7c11eb4ec37b,0.36,false,false,near_mint,en,USD
Frog Lizard,TRNA,Ravnica Allegiance Tokens,6,normal,common,1,43586,495d3391-6311-418e-b55a-10c0af751026,0.22,false,false,near_mint,en,USD
Saproling,TDOM,Dominaria Tokens,12,normal,common,1,2280,0b425bdc-b3d5-4825-9f97-a00e2d932438,0.11,false,false,near_mint,en,USD
Sphinx of New Prahv,RNA,Ravnica Allegiance,208,normal,uncommon,4,43657,d9aec56e-50a3-491f-89c6-32907ea3161a,0.06,false,false,near_mint,en,USD
Lawmage's Binding,RNA,Ravnica Allegiance,190,normal,common,4,43675,a8a7be1f-3fba-4ff2-a4f1-aebd3d20da8f,0.03,false,false,near_mint,en,USD
Depose // Deploy,RNA,Ravnica Allegiance,225,normal,uncommon,2,43640,ab0ba4ef-9e82-4177-a80f-8fa6f6a5bd60,0.08,false,false,near_mint,en,USD
Judge's Familiar,GK2,RNA Guild Kit,14,normal,uncommon,2,44007,af4ff6fb-98a6-4776-92a6-c89a6697b23f,0.24,false,false,near_mint,en,USD
High Alert,RNA,Ravnica Allegiance,182,normal,uncommon,3,43683,ce124f6e-ef0c-4d01-a876-e34d3e445108,0.33,false,false,near_mint,en,USD
Azorius Signet,GK2,RNA Guild Kit,24,normal,uncommon,1,43997,37063666-e5e1-4ef0-ac34-2ae47b323dde,0.38,false,false,near_mint,en,USD
Azorius Locket,RNA,Ravnica Allegiance,231,normal,common,3,43634,13aed078-9e29-48e7-b145-5252362031a0,0.06,false,false,near_mint,en,USD
Conclave Tribunal,GRN,Guilds of Ravnica,6,normal,uncommon,1,477,9d9fda5d-df8f-45d6-b8f0-33f903c4bf83,0.06,false,false,near_mint,en,USD
Ministrant of Obligation,RNA,Ravnica Allegiance,16,normal,uncommon,1,43848,bf2a093a-25f0-4247-94dc-550865d86317,0.07,false,false,near_mint,en,USD
Haazda Marshal,GRN,Guilds of Ravnica,13,normal,uncommon,1,470,5c561d89-b02d-4f1a-b49a-cdf2def3404d,0.17,false,false,near_mint,en,USD
Luminous Bonds,GRN,Guilds of Ravnica,21,normal,common,1,462,5d471de4-a7b2-4e13-9492-3fa94f5867ac,0.03,false,false,near_mint,en,USD
Take Heart,GRN,Guilds of Ravnica,28,normal,common,2,455,b26f10d5-b826-45b0-abed-80d86e1335c9,0.04,false,false,near_mint,en,USD
Sworn Companions,GRN,Guilds of Ravnica,27,normal,common,1,456,2ccfa5c1-69f9-4351-aba3-883fe92c9b98,0.07,false,false,near_mint,en,USD
Blade Instructor,GRN,Guilds of Ravnica,1,normal,common,1,482,9b1c7f07-8d39-425b-8ae9-b3ab317cc0fe,0.02,false,false,near_mint,en,USD
Impassioned Orator,RNA,Ravnica Allegiance,12,normal,common,1,43852,2bd746e3-8934-4c86-894e-2cb1738b1d58,0.11,false,false,near_mint,en,USD
Healer's Hawk,GRN,Guilds of Ravnica,14,normal,common,1,469,3313bd5c-b657-47a3-822a-dd0d9165492a,0.11,false,false,near_mint,en,USD
Serra's Guardian,M19,Core Set 2019,284,normal,rare,1,1028,1a1d95b9-aa18-41e2-b972-93fda25e0b11,0.34,false,false,near_mint,en,USD
Unbreakable Formation,RNA,Ravnica Allegiance,29,normal,rare,1,43835,46cc8574-7b8c-492c-8a36-75cb0192f853,0.43,false,false,near_mint,en,USD
Stoic Ephemera,GK2,RNA Guild Kit,4,normal,uncommon,1,44017,63058b80-8b19-4077-9219-f064255d1c74,0.18,false,false,near_mint,en,USD
Azorius Justiciar,GK2,RNA Guild Kit,3,normal,uncommon,1,44018,a96314f5-eee7-4bac-bbbc-ddab3b52be9d,0.11,false,false,near_mint,en,USD